Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002639;;75007;12;1;DGJOP;EVENEMENTIEL;Paris 2024 - site Invalide;Place des Invalides;Av Maréchal GAllieni - rue de l'Université - rue Saint Dominique;2024-07-10;2024-10-31;BARRAGE_TOTAL;Barrage des rue Saint Dominique (entre Fabert et Constantine) et av du Maréchal Gallieni;1;4;;"{""coordinates"": [[[[2.3131859854411516, 48.85887594273575], [2.313108656956511, 48.85892703272333], [2.313192945580927, 48.85932494144682], [2.313235830947555, 48.859776318985524], [2.3132636443250276, 48.86013630941256], [2.3133141749755755, 48.860625324256965], [2.3133520398753182, 48.86084036603265], [2.313473628940222, 48.860878657409934], [2.3136526000961153, 48.86090854957017], [2.314792629504356, 48.860872117778506], [2.3145884152518876, 48.858395471160144], [2.3145899694794974, 48.85827732661307], [2.313659762043747, 48.85845459526152], [2.3135488192266838, 48.85856972726019], [2.3134496701740996, 48.858681940957965], [2.3134577372120457, 48.858687358177214], [2.3133262446869827, 48.85878327428919], [2.313246396153297, 48.858836029899464], [2.313268636066277, 48.858831279438284], [2.313225222996716, 48.85885001833823], [2.3132081073602855, 48.8588613266047], [2.3132440088565356, 48.8588472500186], [2.3131799235314134, 48.859077818987394], [2.3131859854411516, 48.85887594273575]]], [[[2.313186258125986, 48.8588668374515], [2.313225222996716, 48.85885001833823], [2.313246396153297, 48.858836029899464], [2.313186801764785, 48.85884875817833], [2.313186258125986, 48.8588668374515]]], [[[2.313121715356367, 48.858862660037104], [2.313186801764785, 48.85884875817833], [2.3131871788009324, 48.858836182889114], [2.313121715356367, 48.858862660037104]]], [[[2.313186165567725, 48.85886992979551], [2.313186258125986, 48.8588668374515], [2.3131090109547245, 48.85890018187174], [2.313186165567725, 48.85886992979551]]], [[[2.3131859854411516, 48.85887594273575], [2.3132081073602855, 48.8588613266047], [2.313186165567725, 48.85886992979551], [2.3131859854411516, 48.85887594273575]]]], ""type"": ""MultiPolygon""}";48.85967694658597, 2.3139894385856308
CP002671;;75020;10;1;S.A.G.P;REAMENAGEMENT_VOIRIE;;rue Schubert -rue Paganini;;2024-10-01;2025-01-31;RESTREINTE;Travaux en demi chaussée.;2;2;;"{""coordinates"": [[[2.4116891045505136, 48.85217095646313], [2.4117377190425513, 48.852189991887315], [2.4117376887274746, 48.85219267719568], [2.4118603153213325, 48.85142260025915], [2.411807177818527, 48.851443820924494], [2.4116891045505136, 48.85217095646313]]], ""type"": ""Polygon""}";48.85180975039869, 2.411773440962627
CP002683;;75010;11;1;SAGP. DST;REAMENAGEMENT_SECTEUR;Elargissement du trottoir coté école et centre sportif.;Rue de Lancry;du 1 au 19;2024-10-14;2024-11-29;BARRAGE_TOTAL;Fermeture de la rue de Lancry de 7h00 a 17h00 durant les travaux avec déviation par la rue René boulanger et la rue Bouchardon. Mise en inversion de sens de la rue Boulanger depuis la rue de Lancry jusqu'à la rue Bouchardon.;2;2;;"{""coordinates"": [[[2.3606375504166084, 48.86980225492016], [2.3607010506004475, 48.86976902804488], [2.3599290414989396, 48.868662599743615], [2.35984737529147, 48.86868364464035], [2.3606375504166084, 48.86980225492016]]], ""type"": ""Polygon""}";48.86921968648766, 2.360271844257737
CP002692;;75015;13;1;S.T.V;REAMENAGEMENT_VOIRIE;;Boulevard Victor;du 13 au 57 bld Victor;2024-10-21;2024-12-20;RESTREINTE;"Fermeture des deux accès entre bld Victor et Lefebvre (traversées de tramway) .
Réduction de voirie avec maintient d'une voie de circulation Bld Victor.";2;2;;"{""coordinates"": [[[2.2871231893820325, 48.83327207757406], [2.2892449038279725, 48.83234616572861], [2.2892550712595168, 48.832346226149355], [2.289249116423892, 48.832335449504065], [2.2890349811630695, 48.83237848549814], [2.2889630701110515, 48.83228272675325], [2.2888079829935695, 48.83232074228918], [2.2888797839162778, 48.832424557088665], [2.287441565054623, 48.833043032869135], [2.28732682083846, 48.83295641647924], [2.287207932008657, 48.83302418564511], [2.2873429576399924, 48.83311495039906], [2.2870769656854137, 48.8332315216899], [2.2871231893820325, 48.83327207757406]]], ""type"": ""Polygon""}";48.832775374619985, 2.288126750049448
CP002711;;75018;9;1;Mission Vélo;TRAVAUX_PREPARATOIRES;;;;2024-11-26;2024-12-19;RESTREINTE;;;1;;"{""coordinates"": [[[2.332646316870952, 48.887795449215766], [2.3326911735187297, 48.887790328431755], [2.3325499198605097, 48.88705647284538], [2.3325131716683374, 48.88706432417302], [2.3325171058088667, 48.88707508678159], [2.332646316870952, 48.887795449215766]]], ""type"": ""Polygon""}";48.88744070421021, 2.332603272096946
CP001670;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;place du Palais Royal;n°2;2020-06-29;2025-03-31;RESTREINTE;Maintien d'une file de circulation .Lors des livraisons cette voie pourra être fermée.;2;4;;"{""coordinates"": [[[2.337232888790253, 48.862257597171684], [2.3370699264413646, 48.86231023365322], [2.3371952989616256, 48.86251913700107], [2.337272622259835, 48.86253622203807], [2.3373757632412215, 48.86250823886393], [2.337232888790253, 48.862257597171684]]], ""type"": ""Polygon""}";48.86240295301129, 2.3372231998594786
CP002673;;75014;12;3;R.A.T.P;RACCORDEMENT_RESEAU;travaux de H.T.A;rue Froidevaux;Depuis la rue Emile Richard jusqu'à la place Denfert Rochereau.;2024-09-16;2024-11-28;RESTREINTE;Fermeture totale de la piste cyclable depuis l'avenue du Maine jusqu'à la place Denfert-Rochereau.;2;2;;"{""coordinates"": [[[2.327835778578545, 48.836382990256425], [2.327966219926423, 48.83636223995273], [2.327725764356672, 48.83608161188321], [2.3312731637381088, 48.83476227918966], [2.3315014290784988, 48.835042832255496], [2.331709732552498, 48.834976862767334], [2.3312573420274765, 48.83472728165328], [2.327587394703469, 48.83605207134974], [2.327835778578545, 48.836382990256425]]], ""type"": ""Polygon""}";48.83549694973529, 2.3293822608488584
CP002687;;75010;11;1;STV;REFECTION_CHAUSSEE;Réfection de 3 tranchées sur passages piétons.;175 b rue du Faubourg Saint-Denis;;2024-10-21;2024-10-25;RESTREINTE;fermeture du sens descendant depuis la rue Demarquay jusqu'à la rue de Dunkerque.;2;2;;"{""coordinates"": [[[2.3578080458089747, 48.8805727601965], [2.357692998087743, 48.88032778571335], [2.3574887499533195, 48.88038307959719], [2.35762441702792, 48.88060668258449], [2.3578080458089747, 48.8805727601965]]], ""type"": ""Polygon""}";48.880469468762044, 2.3576530367045465
CP002689;;75014;12;1;S.A.P;TRAVAUX_URGENCE;affaissement d'un avaloir.;39 rue d'Alesia.;;2024-09-27;2024-11-29;BARRAGE_TOTAL;Depuis la rue de la Tombe d'Issoire jusqu'à la place Victor et Hélène Basch.;1;2;;"{""coordinates"": [[[2.3324922753795225, 48.8278949423307], [2.3324127236847345, 48.82775485843368], [2.327051745527378, 48.82778389052444], [2.3271232178009864, 48.82791856152905], [2.3324922753795225, 48.8278949423307]]], ""type"": ""Polygon""}";48.827837987228314, 2.329787693718862
CP002697;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Base de vie.;79 boulevard de Strasbourg.;en chaussée centrale du boulevard de Strasbourg.;2024-11-12;2025-11-14;RESTREINTE;Réduction de la voirie des BUS et Taxis  sens gare de l'EST boulevard Magenta au droit du  boulevard de Strasbourg.;2;1;;"{""coordinates"": [[[2.357626786382648, 48.8753909265887], [2.3576736405120413, 48.87538782078958], [2.357675684239932, 48.87538716085166], [2.3575753672907913, 48.87518657074664], [2.357538632610941, 48.87519442984643], [2.3575126685307484, 48.875236583548], [2.3575608789960816, 48.87537110498413], [2.357626786382648, 48.8753909265887]]], ""type"": ""Polygon""}";48.8752975487471, 2.357585321445377
