"Label";"Number of arrivals at hotels - Residents tourists - Paris";"Codes"
"idBank";"010598704";""
"Last update";"09/10/2024 16:52";""
"Period";"";""
"2024-10";"";""
"2024-09";"";""
"2024-08";"330.05";"P"
"2024-07";"384.66";"A"
"2024-06";"532.91";"A"
"2024-05";"520.25";"A"
"2024-04";"540.18";"A"
"2024-03";"618.36";"A"
"2024-02";"549.17";"A"
"2024-01";"578.18";"A"
"2023-12";"644.16";"A"
"2023-11";"671.56";"A"
"2023-10";"580.11";"A"
"2023-09";"571.03";"A"
"2023-08";"444.82";"A"
"2023-07";"499.56";"A"
"2023-06";"598.41";"A"
"2023-05";"542.2";"A"
"2023-04";"532.92";"A"
"2023-03";"557.18";"A"
"2023-02";"506.52";"A"
"2023-01";"549.14";"A"
"2022-12";"613.62";"A"
"2022-11";"668.38";"A"
"2022-10";"609.56";"A"
"2022-09";"565.28";"A"
"2022-08";"417.76";"A"
"2022-07";"510.34";"A"
"2022-06";"580.59";"A"
"2022-05";"575.0";"A"
"2022-04";"543.58";"A"
"2022-03";"622.59";"A"
"2022-02";"488.47";"A"
"2022-01";"394.53";"A"
"2021-12";"565.45";"A"
"2021-11";"615.04";"A"
"2021-10";"623.19";"A"
"2021-09";"524.37";"A"
"2021-08";"381.84";"A"
"2021-07";"475.18";"A"
"2021-06";"452.8";"A"
"2021-05";"343.89";"A"
"2021-04";"";"O"
"2021-03";"";"O"
"2021-02";"";"O"
"2021-01";"";"O"
"2020-12";"";"O"
"2020-11";"";"O"
"2020-10";"344.15";"A"
"2020-09";"369.48";"A"
"2020-08";"292.13";"A"
"2020-07";"318.92";"A"
"2020-06";"";"O"
"2020-05";"";"O"
"2020-04";"";"O"
"2020-03";"";"O"
"2020-02";"";"O"
"2020-01";"";"O"
