time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³)
2024-07-18T00:00,17.3,77,13.1,17.2,0.00,0.00,0.00,0.00,1,1021.3,1016.1,30,2,0,93,0.01,0.46,7.3,20.1,57,61,13.3,19.2,20.4,17.5,14.3,0.208,0.197,0.241,0.331
2024-07-18T01:00,16.5,82,13.3,16.6,0.00,0.00,0.00,NaN,0,1021.0,1015.8,2,0,0,8,0.00,0.34,6.6,18.6,61,68,11.5,18.5,20.3,17.5,14.3,0.208,0.197,0.241,0.331
2024-07-18T02:00,15.8,86,13.5,15.8,0.00,0.00,0.00,NaN,1,1020.9,1015.7,30,0,0,100,0.00,0.25,7.9,11.9,60,87,11.5,17.6,20.3,17.6,14.3,0.205,0.196,0.239,0.331
2024-07-18T03:00,15.1,90,13.5,14.9,0.00,0.00,0.00,NaN,1,1020.7,1015.5,30,0,0,100,0.00,0.16,8.5,12.2,62,88,10.1,17.2,20.1,17.6,14.3,0.205,0.196,0.239,0.331
2024-07-18T04:00,14.7,92,13.5,14.6,0.00,0.00,0.00,NaN,1,1020.5,1015.3,21,0,0,69,0.00,0.13,8.1,13.0,58,88,10.4,16.9,19.9,17.6,14.3,0.205,0.196,0.239,0.331
2024-07-18T05:00,15.3,89,13.5,15.4,0.00,0.00,0.00,NaN,1,1020.7,1015.5,31,0,3,98,0.00,0.19,7.0,12.1,78,100,10.8,16.5,19.7,17.6,14.3,0.204,0.196,0.239,0.331
2024-07-18T06:00,16.1,87,13.8,16.7,0.00,0.00,0.00,NaN,1,1020.9,1015.7,37,0,11,100,0.01,0.25,3.9,8.9,68,111,8.6,16.3,19.5,17.6,14.3,0.204,0.196,0.239,0.331
2024-07-18T07:00,17.3,84,14.6,18.2,0.00,0.00,0.00,NaN,1,1021.0,1015.9,39,0,15,99,0.06,0.31,4.2,9.1,59,99,9.4,17.1,19.3,17.6,14.3,0.204,0.196,0.239,0.331
2024-07-18T08:00,19.5,76,15.2,20.9,0.00,0.00,0.00,NaN,1,1021.1,1016.0,35,0,9,99,0.15,0.53,2.3,7.9,72,106,10.8,18.4,19.2,17.6,14.3,0.204,0.196,0.239,0.331
2024-07-18T09:00,22.1,68,15.8,23.6,0.00,0.00,0.00,NaN,1,1021.1,1016.0,32,0,4,100,0.26,0.86,3.3,4.7,84,94,12.2,20.1,19.2,17.6,14.3,0.203,0.195,0.239,0.331
2024-07-18T10:00,24.3,57,15.2,25.2,0.00,0.00,0.00,NaN,1,1020.8,1015.8,23,0,1,74,0.37,1.32,5.8,7.6,94,98,16.6,21.8,19.2,17.6,14.3,0.202,0.195,0.239,0.331
2024-07-18T11:00,25.7,49,14.1,27.3,0.00,0.00,0.00,NaN,0,1020.7,1015.7,19,0,0,64,0.49,1.70,5.5,7.1,101,105,16.9,23.6,19.4,17.6,14.3,0.200,0.195,0.239,0.331
2024-07-18T12:00,26.6,46,14.2,28.8,0.00,0.00,0.00,NaN,0,1020.5,1015.5,10,0,0,33,0.56,1.86,5.1,6.3,98,103,17.3,25.3,19.6,17.6,14.3,0.197,0.194,0.238,0.331
2024-07-18T13:00,27.3,45,14.4,29.9,0.00,0.00,0.00,NaN,1,1020.2,1015.2,20,1,2,61,0.60,1.98,5.1,6.2,94,97,16.9,26.6,19.9,17.6,14.3,0.195,0.194,0.238,0.331
2024-07-18T14:00,28.2,43,14.4,29.7,0.00,0.00,0.00,NaN,2,1019.8,1014.8,50,0,41,86,0.53,2.18,6.2,7.6,80,85,17.3,27.4,20.3,17.6,14.3,0.191,0.192,0.236,0.331
2024-07-18T15:00,28.7,42,14.4,30.4,0.00,0.00,0.00,NaN,0,1019.3,1014.4,7,0,0,23,0.54,2.29,6.1,7.6,90,93,17.6,28.1,20.7,17.6,14.3,0.189,0.192,0.236,0.331
2024-07-18T16:00,29.0,41,14.3,30.5,0.00,0.00,0.00,NaN,1,1019.1,1014.2,49,0,33,98,0.52,2.37,5.7,7.3,108,110,16.9,28.6,21.0,17.6,14.3,0.186,0.191,0.236,0.331
2024-07-18T17:00,28.9,41,14.3,29.4,0.00,0.00,0.00,NaN,1,1018.9,1014.0,37,4,6,100,0.40,2.35,6.1,7.7,130,131,16.2,28.5,21.3,17.6,14.3,0.185,0.191,0.236,0.331
2024-07-18T18:00,28.4,41,14.1,28.8,0.00,0.00,0.00,NaN,1,1018.7,1013.8,37,8,2,94,0.29,2.27,6.6,8.4,139,137,15.1,27.9,21.6,17.6,14.3,0.183,0.191,0.236,0.331
2024-07-18T19:00,27.4,50,16.1,28.6,0.00,0.00,0.00,NaN,0,1018.7,1013.7,16,0,0,52,0.17,1.82,5.5,11.6,148,150,13.7,27.0,21.9,17.7,14.3,0.183,0.190,0.236,0.331
2024-07-18T20:00,25.1,61,17.0,26.7,0.00,0.00,0.00,NaN,1,1018.7,1013.7,22,0,0,72,0.09,1.26,6.2,12.2,173,166,10.1,25.9,22.0,17.7,14.3,0.182,0.190,0.236,0.331
2024-07-18T21:00,23.4,58,14.8,23.8,0.00,0.00,0.00,NaN,1,1018.9,1013.9,30,0,0,100,0.06,1.19,8.0,10.0,172,167,11.2,24.3,22.1,17.7,14.3,0.182,0.190,0.236,0.331
2024-07-18T22:00,23.3,57,14.4,23.8,0.00,0.00,0.00,NaN,1,1019.1,1014.1,30,0,0,99,0.03,1.22,6.4,8.1,137,148,9.4,23.0,22.1,17.7,14.3,0.182,0.190,0.236,0.331
2024-07-18T23:00,21.4,68,15.2,22.1,0.00,0.00,0.00,NaN,1,1019.2,1014.1,31,0,1,100,0.02,0.81,7.0,8.7,102,120,8.3,22.0,22.0,17.7,14.3,0.182,0.190,0.236,0.331
