id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25
2020-01-01 00:00:00,42.9,0.718,15.7,73.1,64.4
2020-01-01 01:00:00,33.6,0.587,10.1,74.8,66.0
2020-01-01 02:00:00,29.3,0.44737446817128146,5.1,51.0,44.9
2020-01-01 03:00:00,30.5,0.246,7.2,27.7,25.1
2020-01-01 04:00:00,29.3,0.204,8.3,15.3,13.6
2020-01-01 05:00:00,32.5,0.242,5.5,13.9,13.2
2020-01-01 06:00:00,30.9,0.254,4.0,18.9,17.4
2020-01-01 07:00:00,25.8,0.253,3.9,20.6,17.3
2020-01-01 08:00:00,22.1,0.28,4.9,18.6,17.1
2020-01-01 09:00:00,21.0,0.289,6.4,19.8,16.5
2020-01-01 10:00:00,20.8,0.302,8.1,19.1,17.1
2020-01-01 11:00:00,21.0,0.295,8.8,21.6,17.8
2020-01-01 12:00:00,24.6,0.308,7.9,24.7,21.7
2020-01-01 13:00:00,26.9,0.302,6.8,27.3,26.0
2020-01-01 14:00:00,26.3,0.279,7.1,27.5,23.3
2020-01-01 15:00:00,30.1,0.317,5.3,25.6,22.3
2020-01-01 16:00:00,30.5,0.32,3.8,26.3,23.1
2020-01-01 17:00:00,30.9,0.331,4.0,23.2,19.8
2020-01-01 18:00:00,30.5,0.367,4.8,25.1,20.8
2020-01-01 19:00:00,30.7,0.38,4.6,28.0,21.6
2020-01-01 20:00:00,28.2,0.348,4.8,25.9,22.8
2020-01-01 21:00:00,27.3,0.32,3.9,23.5,20.6
2020-01-01 22:00:00,26.3,0.309,3.9,22.0,21.3
2020-01-01 23:00:00,24.1,0.315,3.4,21.7,21.5
2020-01-02 00:00:00,21.6,0.309,3.2,20.7,16.8
2020-01-02 01:00:00,21.3,0.31,3.4,18.5,16.0
2020-01-02 02:00:00,21.0,0.27022691092706186,3.7,16.8,16.3
2020-01-02 03:00:00,21.3,0.302,3.7,15.0,14.3
2020-01-02 04:00:00,23.5,0.305,2.5,15.6,12.4
2020-01-02 05:00:00,27.4,0.332,2.1,15.1,12.8
2020-01-02 06:00:00,29.8,0.335,1.9,17.7,14.1
2020-01-02 07:00:00,37.2,0.434,2.5,17.3,13.6
2020-01-02 08:00:00,39.8,0.465,3.0,19.8,13.4
2020-01-02 09:00:00,44.2,0.474,4.9,22.6,15.9
2020-01-02 10:00:00,44.9,0.346,9.4,23.8,15.4
2020-01-02 11:00:00,38.9,0.277,15.1,19.7,13.9
2020-01-02 12:00:00,39.3,0.28,17.6,17.1,12.8
2020-01-02 13:00:00,41.1,0.272,19.1,21.0,10.8
2020-01-02 14:00:00,42.2,0.255,21.7,16.6,10.1
2020-01-02 15:00:00,46.0,0.239,19.9,18.6,9.7
2020-01-02 16:00:00,52.3,0.269,13.4,13.4,8.0
2020-01-02 17:00:00,55.1,0.309,8.9,16.2,9.5
2020-01-02 18:00:00,44.5,0.283,12.9,20.1,12.7
2020-01-02 19:00:00,45.7,0.286,9.9,24.3,17.7
2020-01-02 20:00:00,37.8,0.25,16.8,26.6,16.6
2020-01-02 21:00:00,27.1,0.214,30.1,20.9,13.9
2020-01-02 22:00:00,21.8,0.211,36.8,17.3,12.2
2020-01-02 23:00:00,18.7,0.188,38.9,17.2,10.7
2020-01-03 00:00:00,15.4,0.185,39.5,15.5,12.0
2020-01-03 01:00:00,14.1,0.183,39.9,16.0,10.0
2020-01-03 02:00:00,11.7,0.12634121999045195,43.5,17.1,6.6
2020-01-03 03:00:00,11.5,0.164,44.0,15.7,6.6
2020-01-03 04:00:00,12.2,0.182,42.9,15.8,9.1
2020-01-03 05:00:00,19.8,0.202,35.4,18.8,11.2
2020-01-03 06:00:00,27.7,0.223,28.0,18.5,10.1
2020-01-03 07:00:00,28.9,0.236,26.7,13.5,10.1
2020-01-03 08:00:00,39.0,0.303,16.9,15.1,10.5
2020-01-03 09:00:00,32.4,0.255,29.5,16.1,7.3
2020-01-03 10:00:00,23.8,0.21,44.0,11.3,5.0
2020-01-03 11:00:00,21.0,0.209,50.4,12.1,4.8
2020-01-03 12:00:00,19.0,0.192,56.3,12.3,6.7
2020-01-03 13:00:00,28.2,0.224,45.5,12.8,6.8
2020-01-03 14:00:00,30.6,0.215,43.1,13.5,5.5
2020-01-03 15:00:00,31.1,0.225,40.7,10.5,4.0
2020-01-03 16:00:00,36.6,0.253,32.9,9.6,3.8
2020-01-03 17:00:00,51.2,0.307,20.3,10.6,5.9
2020-01-03 18:00:00,33.8,0.268,33.7,10.9,6.6
2020-01-03 19:00:00,28.8,0.245,35.1,10.6,8.9
2020-01-03 20:00:00,26.0,0.224,40.3,16.8,10.4
2020-01-03 21:00:00,21.4,0.207,48.0,14.7,9.6
2020-01-03 22:00:00,21.7,0.181,54.9,11.3,7.2
2020-01-03 23:00:00,17.7,0.166,54.5,9.8,5.9
2020-01-04 00:00:00,19.6,0.146,49.6,10.5,5.8
2020-01-04 01:00:00,25.0,0.15,44.8,15.3,2.4
2020-01-04 02:00:00,19.5,0.1298717944169926,48.1,16.0,3.5
2020-01-04 03:00:00,17.6,0.145,48.0,16.3,3.3
2020-01-04 04:00:00,25.5,0.192,35.3,14.2,6.9
2020-01-04 05:00:00,33.9,0.202,27.2,18.0,6.4
2020-01-04 06:00:00,42.9,0.213,20.4,20.1,6.6
2020-01-04 07:00:00,48.8,0.232,15.7,20.3,7.6
2020-01-04 08:00:00,46.6,0.229,18.0,22.5,7.9
2020-01-04 09:00:00,39.6,0.221,26.7,24.4,7.5
2020-01-04 10:00:00,35.2,0.221,33.3,23.6,9.6
2020-01-04 11:00:00,29.2,0.205,43.0,23.7,8.3
2020-01-04 12:00:00,24.2,0.185,48.0,23.8,8.9
2020-01-04 13:00:00,20.2,0.175,53.3,21.5,8.4
2020-01-04 14:00:00,24.2,0.172,50.7,21.0,7.6
2020-01-04 15:00:00,36.9,0.197,39.8,21.6,7.9
2020-01-04 16:00:00,44.3,0.229,30.7,23.6,8.6
2020-01-04 17:00:00,55.6,0.252,19.9,23.8,9.3
2020-01-04 18:00:00,46.2,0.246,29.5,27.8,7.9
2020-01-04 19:00:00,39.0,0.234,38.4,23.8,11.2
2020-01-04 20:00:00,35.0,0.226,42.1,19.3,10.2
2020-01-04 21:00:00,21.8,0.185,55.6,16.9,9.7
2020-01-04 22:00:00,22.2,0.198,53.2,14.7,9.1
2020-01-04 23:00:00,21.1,0.199,53.3,13.9,9.4
2020-01-05 00:00:00,18.7,0.184,55.2,13.4,7.2
2020-01-05 01:00:00,22.7,0.201,48.6,12.2,4.9
2020-01-05 02:00:00,18.16478955224468,0.17946415988030467,42.3,13.1,7.3
2020-01-05 03:00:00,22.4,0.201,46.6,13.7,7.1
2020-01-05 04:00:00,21.3,0.203,47.3,12.0,5.4
2020-01-05 05:00:00,22.1,0.199,51.4,10.9,5.8
2020-01-05 06:00:00,25.4,0.202,42.0,9.9,5.1
2020-01-05 07:00:00,33.2,0.214,35.8,11.1,6.3
2020-01-05 08:00:00,32.7,0.235,34.0,12.7,6.8
2020-01-05 09:00:00,32.4,0.241,32.1,12.6,7.1
2020-01-05 10:00:00,40.8,0.273,26.5,15.5,8.8
2020-01-05 11:00:00,28.6,0.229,45.9,15.9,9.3
2020-01-05 12:00:00,16.5,0.172,61.5,11.3,6.5
2020-01-05 13:00:00,11.7,0.142,68.6,5.7,6.5
2020-01-05 14:00:00,14.8,0.143,63.5,10.1,6.2
2020-01-05 15:00:00,21.7,0.165,54.8,15.7,4.2
2020-01-05 16:00:00,35.6,0.212,40.1,16.9,6.8
2020-01-05 17:00:00,36.3,0.206,40.9,15.9,10.6
2020-01-05 18:00:00,38.1,0.207,40.2,16.4,9.9
2020-01-05 19:00:00,27.5,0.184,49.4,15.6,10.5
2020-01-05 20:00:00,24.0,0.164,52.5,12.9,11.6
2020-01-05 21:00:00,19.8,0.168,55.3,14.6,11.5
2020-01-05 22:00:00,20.7,0.173,52.3,14.4,12.3
2020-01-05 23:00:00,32.0,0.174,41.7,13.9,11.7
2020-01-06 00:00:00,39.7,0.189,33.4,17.1,15.1
2020-01-06 01:00:00,42.8,0.189,30.1,17.4,9.1
2020-01-06 02:00:00,36.1,0.264714704150008,32.9,17.9,10.6
2020-01-06 03:00:00,36.4,0.17,31.7,18.8,8.3
2020-01-06 04:00:00,43.9,0.183,18.8,18.4,13.1
2020-01-06 05:00:00,38.3,0.192,24.4,19.2,13.0
2020-01-06 06:00:00,59.2,0.238,5.0,20.8,14.5
2020-01-06 07:00:00,60.5,0.305,4.1,23.4,15.4
2020-01-06 08:00:00,52.5,0.319,6.8,27.3,15.0
2020-01-06 09:00:00,50.0,0.33,10.5,28.8,15.9
2020-01-06 10:00:00,31.910629742252198,0.28498451147473586,13.75,32.2,20.45501315867528
2020-01-06 11:00:00,30.769099783741318,0.2763637545379532,17.0,30.6,19.369538385409022
2020-01-06 12:00:00,22.03750027626095,0.2104233739546501,20.25,18.361671969143284,11.066768391703164
2020-01-06 13:00:00,36.9,0.274,23.5,23.54314136254318,14.593657072773306
2020-01-06 14:00:00,37.5,0.259,24.0,28.1,17.3
2020-01-06 15:00:00,36.4,0.241,25.0,28.8,18.4
2020-01-06 16:00:00,42.8,0.258,17.9,28.1,15.8
2020-01-06 17:00:00,34.3,0.264,26.6,25.6,12.2
2020-01-06 18:00:00,29.4,0.252,31.9,31.3,15.8
2020-01-06 19:00:00,39.4,0.274,24.7,21.6,15.1
2020-01-06 20:00:00,39.0,0.272,26.6,25.8,17.8
2020-01-06 21:00:00,31.3,0.261,30.8,22.7,18.8
2020-01-06 22:00:00,22.7,0.235,37.2,14.2,11.7
2020-01-06 23:00:00,19.3,0.219,37.6,13.6,10.4
2020-01-07 00:00:00,17.2,0.218,41.6,14.9,9.9
2020-01-07 01:00:00,12.1,0.202,49.9,11.3,9.2
2020-01-07 02:00:00,11.8,0.1659743767800185,48.1,13.0,8.4
2020-01-07 03:00:00,15.8,0.203,41.5,14.0,8.4
2020-01-07 04:00:00,28.3,0.222,30.7,14.9,7.7
2020-01-07 05:00:00,52.4,0.277,8.3,16.4,6.9
2020-01-07 06:00:00,55.4,0.283,10.9,17.1,8.3
2020-01-07 07:00:00,64.1,0.314,5.6,19.1,8.3
2020-01-07 08:00:00,58.7,0.394,6.5,26.2,11.6
2020-01-07 09:00:00,44.4,0.345,15.9,25.8,12.4
2020-01-07 10:00:00,45.3,0.328,15.5,24.8,13.8
2020-01-07 11:00:00,42.5,0.336,14.2,24.936051732979905,16.6
2020-01-07 12:00:00,35.3,0.322,17.5,24.3,16.0
2020-01-07 13:00:00,37.4,0.321,12.2,21.5,15.6
2020-01-07 14:00:00,37.5,0.334,7.4,23.0,15.8
2020-01-07 15:00:00,37.0,0.343,7.1,21.5,13.2
2020-01-07 16:00:00,40.6,0.363,4.1,16.8,11.8
2020-01-07 17:00:00,40.6,0.391,3.5,16.3,12.4
2020-01-07 18:00:00,37.6,0.396,4.2,17.7,14.4
2020-01-07 19:00:00,36.4,0.402,4.5,19.8,14.7
2020-01-07 20:00:00,35.5,0.398,4.2,22.2,18.9
2020-01-07 21:00:00,32.3,0.385,4.5,21.6,17.9
2020-01-07 22:00:00,29.9,0.366,7.3,18.6,13.3
2020-01-07 23:00:00,28.3,0.269,11.3,15.5,10.6
2020-01-08 00:00:00,22.9,0.253,19.6,13.5,10.2
2020-01-08 01:00:00,15.8,0.22,33.1,11.7,7.1
2020-01-08 02:00:00,10.2,0.13642443206112737,47.3,10.4,5.1
2020-01-08 03:00:00,9.7,0.171,53.7,7.1,9.1
2020-01-08 04:00:00,11.9,0.167,52.6,6.3,6.2
2020-01-08 05:00:00,21.3,0.177,42.0,6.9,5.4
2020-01-08 06:00:00,28.1,0.193,35.5,7.6,3.9
2020-01-08 07:00:00,43.4,0.228,21.5,8.7,4.8
2020-01-08 08:00:00,45.6,0.29,18.6,12.9,6.1
2020-01-08 09:00:00,47.7,0.298,18.0,16.4,6.2
2020-01-08 10:00:00,39.6,0.278,25.2,18.0,9.1
2020-01-08 11:00:00,40.6,0.274,23.7,17.8,10.1
2020-01-08 12:00:00,39.4,0.283,24.4,19.7,12.7
2020-01-08 13:00:00,40.9,0.272,21.4,18.9,10.6
2020-01-08 14:00:00,37.4,0.274,23.6,20.3,9.5
2020-01-08 15:00:00,39.3,0.273,21.1,16.0,8.1
2020-01-08 16:00:00,43.3,0.296,17.2,13.4,7.3
2020-01-08 17:00:00,43.9,0.327,14.4,15.0,11.0
2020-01-08 18:00:00,40.3,0.358,16.8,17.9,12.7
2020-01-08 19:00:00,33.3,0.327,23.4,17.4,11.4
2020-01-08 20:00:00,28.4,0.294,26.4,16.6,11.6
2020-01-08 21:00:00,23.1,0.264,30.2,16.6,12.2
2020-01-08 22:00:00,20.4,0.249,32.4,17.7,12.6
2020-01-08 23:00:00,16.8,0.192,36.1,17.4,12.2
2020-01-09 00:00:00,12.3,0.176,40.5,14.5,9.8
2020-01-09 01:00:00,9.5,0.171,42.4,13.6,8.0
2020-01-09 02:00:00,10.6,0.1591177245429588,41.6,11.4,7.5
2020-01-09 03:00:00,9.2,0.168,43.1,11.7,7.6
2020-01-09 04:00:00,11.4,0.168,39.7,10.6,8.2
2020-01-09 05:00:00,21.2,0.178,31.8,7.4,8.3
2020-01-09 06:00:00,28.9,0.189,27.3,8.1,7.5
2020-01-09 07:00:00,33.8,0.21,24.4,8.4,5.7
2020-01-09 08:00:00,40.1,0.234,20.3,12.3,5.8
2020-01-09 09:00:00,38.0,0.232,24.3,17.1,8.0
2020-01-09 10:00:00,33.3,0.218,28.3,18.4,8.4
2020-01-09 11:00:00,26.6,0.215,33.7,17.9,6.8
2020-01-09 12:00:00,24.0,0.214,35.6,15.8,8.2
2020-01-09 13:00:00,28.3,0.224,29.9,19.7,9.4
2020-01-09 14:00:00,25.8,0.223,31.2,21.0,9.7
2020-01-09 15:00:00,29.5,0.232,27.0,17.6,9.7
2020-01-09 16:00:00,38.1,0.262,18.2,14.8,9.2
2020-01-09 17:00:00,32.0,0.261,25.3,12.0,9.5
2020-01-09 18:00:00,26.6,0.247,30.5,10.3,9.6
2020-01-09 19:00:00,24.5,0.24,32.3,10.3,10.8
2020-01-09 20:00:00,23.0,0.218,38.6,10.6,15.3
2020-01-09 21:00:00,17.2,0.194,47.5,9.0,10.8
2020-01-09 22:00:00,14.9,0.171,52.0,10.3,6.1
2020-01-09 23:00:00,14.8,0.153,50.0,11.8,4.6
2020-01-10 00:00:00,13.1,0.143,52.2,10.4,3.4
2020-01-10 01:00:00,10.4,0.135,57.2,10.4,2.5
2020-01-10 02:00:00,9.5,0.1034797102059884,63.6,10.6,2.4
2020-01-10 03:00:00,9.9,0.121,63.2,10.7,4.2
2020-01-10 04:00:00,13.1,0.133,59.6,7.8,3.3
2020-01-10 05:00:00,19.6,0.138,54.1,6.6,3.1
2020-01-10 06:00:00,26.7,0.149,46.0,8.0,3.5
2020-01-10 07:00:00,29.0,0.158,45.9,11.2,5.9
2020-01-10 08:00:00,27.7,0.172,34.5,15.6,6.8
2020-01-10 09:00:00,28.9,0.178,29.6,16.6,5.5
2020-01-10 10:00:00,29.2,0.19,32.6,15.6,8.3
2020-01-10 11:00:00,26.7,0.188,37.8,12.6,7.5
2020-01-10 12:00:00,18.978881842537238,0.18,38.525,12.7,6.3
2020-01-10 13:00:00,18.290276875238707,0.164,39.25,13.6,5.7
2020-01-10 14:00:00,23.6,0.141,39.975,13.3,3.4
2020-01-10 15:00:00,30.3,0.154,40.7,12.8,6.0
2020-01-10 16:00:00,35.4,0.172,35.4,13.4,5.4
2020-01-10 17:00:00,36.7,0.194,33.0,13.9,13.0
2020-01-10 18:00:00,35.1,0.196,34.1,13.3,9.5
2020-01-10 19:00:00,31.3,0.179,38.1,14.3,9.9
2020-01-10 20:00:00,34.6,0.16,33.8,11.8,9.3
2020-01-10 21:00:00,26.9,0.161,45.4,13.8,10.7
2020-01-10 22:00:00,32.8,0.16,36.1,11.8,10.2
2020-01-10 23:00:00,40.4,0.204,30.9,13.6,8.9
2020-01-11 00:00:00,31.7,0.191,40.4,14.4,9.0
2020-01-11 01:00:00,34.8,0.186,34.6,12.5,8.3
2020-01-11 02:00:00,40.2,0.2878759143571943,30.2,13.2,9.1
2020-01-11 03:00:00,29.6,0.174,46.1,11.5,8.5
2020-01-11 04:00:00,22.5,0.133,49.1,9.1,5.7
2020-01-11 05:00:00,49.2,0.186,18.2,10.9,6.7
2020-01-11 06:00:00,64.3,0.223,4.8,13.1,9.3
2020-01-11 07:00:00,60.1,0.237,8.8,17.1,8.7
2020-01-11 08:00:00,59.6,0.241,10.9,18.6,9.4
2020-01-11 09:00:00,48.2,0.232,23.2,22.2,9.9
2020-01-11 10:00:00,41.7,0.219,31.9,21.1,10.1
2020-01-11 11:00:00,26.4,0.175,49.6,20.2,8.1
2020-01-11 12:00:00,21.5,0.15,54.7,17.2,9.6
2020-01-11 13:00:00,23.5,0.145,52.8,19.6,9.4
2020-01-11 14:00:00,22.9,0.152,53.2,15.9,9.6
